"Barcode";"WellRow";"WellColumn";"ReadoutValue";"BackgroundValue"
"201904190a";"A";1;91463;570
"201904190a";"B";1;126457;570
"201904190a";"C";1;91453;570
"201904190a";"D";1;126453;570
"201904190a";"E";1;91457;570
"201904190a";"F";1;126451;570
"201904190a";"G";1;91455;570
"201904190a";"H";1;126459;570
"201904190a";"I";1;91457;570
"201904190a";"J";1;126453;570
"201904190a";"K";1;91451;570
"201904190a";"L";1;126452;570
"201904190a";"M";1;91453;570
"201904190a";"N";1;126446;570
"201904190a";"O";1;91454;570
"201904190a";"P";1;126456;570
"201904190a";"A";2;158176;570
"201904190a";"B";2;76154;570
"201904190a";"C";2;158179;570
"201904190a";"D";2;76154;570
"201904190a";"E";2;158181;570
"201904190a";"F";2;76152;570
"201904190a";"G";2;158186;570
"201904190a";"H";2;76154;570
"201904190a";"I";2;158182;570
"201904190a";"J";2;76163;570
"201904190a";"K";2;158179;570
"201904190a";"L";2;76152;570
"201904190a";"M";2;158184;570
"201904190a";"N";2;76156;570
"201904190a";"O";2;158180;570
"201904190a";"P";2;76154;570
"201904190a";"A";3;91452;570
"201904190a";"B";3;126448;570
"201904190a";"C";3;91461;570
"201904190a";"D";3;126449;570
"201904190a";"E";3;91459;570
"201904190a";"F";3;126448;570
"201904190a";"G";3;91451;570
"201904190a";"H";3;126457;570
"201904190a";"I";3;91463;570
"201904190a";"J";3;126457;570
"201904190a";"K";3;91462;570
"201904190a";"L";3;126456;570
"201904190a";"M";3;91457;570
"201904190a";"N";3;126460;570
"201904190a";"O";3;91453;570
"201904190a";"P";3;126457;570
"201904190a";"A";4;158189;570
"201904190a";"B";4;76156;570
"201904190a";"C";4;158183;570
"201904190a";"D";4;76153;570
"201904190a";"E";4;158190;570
"201904190a";"F";4;76152;570
"201904190a";"G";4;158189;570
"201904190a";"H";4;76159;570
"201904190a";"I";4;158184;570
"201904190a";"J";4;76160;570
"201904190a";"K";4;158186;570
"201904190a";"L";4;76160;570
"201904190a";"M";4;158188;570
"201904190a";"N";4;76153;570
"201904190a";"O";4;158180;570
"201904190a";"P";4;76157;570
"201904190a";"A";5;91457;570
"201904190a";"B";5;126455;570
"201904190a";"C";5;91454;570
"201904190a";"D";5;126447;570
"201904190a";"E";5;91463;570
"201904190a";"F";5;126455;570
"201904190a";"G";5;91460;570
"201904190a";"H";5;126455;570
"201904190a";"I";5;91452;570
"201904190a";"J";5;126458;570
"201904190a";"K";5;91458;570
"201904190a";"L";5;126448;570
"201904190a";"M";5;91451;570
"201904190a";"N";5;126460;570
"201904190a";"O";5;91450;570
"201904190a";"P";5;126458;570
"201904190a";"A";6;158191;570
"201904190a";"B";6;76158;570
"201904190a";"C";6;158190;570
"201904190a";"D";6;76162;570
"201904190a";"E";6;158181;570
"201904190a";"F";6;76150;570
"201904190a";"G";6;158182;570
"201904190a";"H";6;76163;570
"201904190a";"I";6;158190;570
"201904190a";"J";6;76163;570
"201904190a";"K";6;158182;570
"201904190a";"L";6;76152;570
"201904190a";"M";6;158190;570
"201904190a";"N";6;76155;570
