WellRow	WellColumn	Gnumber	Gnumber_2	Concentration	Concentration_2
C	3	vehicle	vehicle	0	0
C	4	vehicle	vehicle	0	0
C	5	vehicle	vehicle	0	0
C	6	vehicle	vehicle	0	0
C	7	vehicle	vehicle	0	0
C	8	vehicle	vehicle	0	0
C	9	vehicle	vehicle	0	0
C	10	vehicle	vehicle	0	0
C	11	vehicle	vehicle	0	0
C	12	vehicle	vehicle	0	0
C	13	vehicle	vehicle	0	0
C	14	vehicle	vehicle	0	0
C	15	vehicle	vehicle	0	0
C	16	vehicle	vehicle	0	0
C	17	vehicle	vehicle	0	0
C	18	vehicle	vehicle	0	0
C	19	vehicle	vehicle	0	0
C	20	vehicle	vehicle	0	0
C	21	vehicle	vehicle	0	0
C	22	vehicle	vehicle	0	0
D	3	vehicle	vehicle	0	0
D	4	vehicle	vehicle	0	0
D	5	vehicle	vehicle	0	0
D	6	vehicle	vehicle	0	0
D	7	vehicle	vehicle	0	0
D	8	vehicle	vehicle	0	0
D	9	vehicle	vehicle	0	0
D	10	vehicle	vehicle	0	0
D	11	vehicle	vehicle	0	0
D	12	vehicle	vehicle	0	0
D	13	vehicle	vehicle	0	0
D	14	vehicle	vehicle	0	0
D	15	vehicle	vehicle	0	0
D	16	vehicle	vehicle	0	0
D	17	vehicle	vehicle	0	0
D	18	vehicle	vehicle	0	0
D	19	vehicle	vehicle	0	0
D	20	vehicle	vehicle	0	0
D	21	vehicle	vehicle	0	0
D	22	vehicle	vehicle	0	0
E	3	vehicle	vehicle	0	0
E	4	vehicle	vehicle	0	0
E	5	vehicle	vehicle	0	0
E	6	vehicle	vehicle	0	0
E	7	vehicle	vehicle	0	0
E	8	vehicle	vehicle	0	0
E	9	vehicle	vehicle	0	0
E	10	vehicle	vehicle	0	0
E	11	vehicle	vehicle	0	0
E	12	vehicle	vehicle	0	0
E	13	vehicle	vehicle	0	0
E	14	vehicle	vehicle	0	0
E	15	vehicle	vehicle	0	0
E	16	vehicle	vehicle	0	0
E	17	vehicle	vehicle	0	0
E	18	vehicle	vehicle	0	0
E	19	vehicle	vehicle	0	0
E	20	vehicle	vehicle	0	0
E	21	vehicle	vehicle	0	0
E	22	vehicle	vehicle	0	0
F	3	vehicle	vehicle	0	0
F	4	vehicle	vehicle	0	0
F	5	vehicle	vehicle	0	0
F	6	vehicle	vehicle	0	0
F	7	vehicle	vehicle	0	0
F	8	vehicle	vehicle	0	0
F	9	vehicle	vehicle	0	0
F	10	vehicle	vehicle	0	0
F	11	vehicle	vehicle	0	0
F	12	vehicle	vehicle	0	0
F	13	vehicle	vehicle	0	0
F	14	vehicle	vehicle	0	0
F	15	vehicle	vehicle	0	0
F	16	vehicle	vehicle	0	0
F	17	vehicle	vehicle	0	0
F	18	vehicle	vehicle	0	0
F	19	vehicle	vehicle	0	0
F	20	vehicle	vehicle	0	0
F	21	vehicle	vehicle	0	0
F	22	vehicle	vehicle	0	0
G	3	vehicle	vehicle	0	0
G	4	vehicle	vehicle	0	0
G	5	vehicle	vehicle	0	0
G	6	vehicle	vehicle	0	0
G	7	vehicle	vehicle	0	0
G	8	vehicle	vehicle	0	0
G	9	vehicle	vehicle	0	0
G	10	vehicle	vehicle	0	0
